年度,縣市名稱,裝置容量(KW)
99 ,台中市,18402
99 ,台北市,1.5
99 ,屏東縣,3
99 ,苗栗縣,6900
99 ,桃園市,50013.5
99 ,新北市,3.5
99 ,新竹市,450
99 ,嘉義縣,21.8
99 ,彰化縣,96600
100 ,台中市,57500
100 ,苗栗縣,123400
100 ,桃園市,9205.3
100 ,新北市,4600
100 ,新竹縣,32200
100 ,嘉義縣,7
100 ,彰化縣,6900
101 ,台中市,4600
101 ,台南市,3
101 ,苗栗縣,9000
101 ,桃園市,27.9
101 ,高雄市,19.8
101 ,雲林縣,3009
101 ,新北市,5
102 ,台中市,40.5
102 ,金門縣,18
102 ,苗栗縣,4
102 ,桃園市,8007
102 ,連江縣,23
102 ,新竹縣,2.4
103 ,台中市,21029.3
103 ,台北市,6
103 ,苗栗縣,21008
103 ,桃園市,17.139
103 ,新北市,15
103 ,彰化縣,18
103 ,澎湖縣,3.5
104 ,台中市,19605.6
104 ,台北市,3.5
104 ,金門縣,12
104 ,苗栗縣,17200
104 ,桃園市,9
104 ,雲林縣,3037.8
104 ,新北市,6006
104 ,新竹縣,2300
104 ,彰化縣,8000
104 ,澎湖縣,33000
105 ,台中市,6003.6
105 ,台北市,3.5
105 ,台南市,12
105 ,桃園市,9
105 ,高雄市,6
105 ,雲林縣,3003
105 ,新北市,3000
105 ,彰化縣,19.2
106 ,台中市,4000
106 ,台南市,13.5
106 ,金門縣,828
106 ,苗栗縣,120000
106 ,桃園市,234.4
106 ,高雄市,6
106 ,雲林縣,130400
106 ,新北市,83.7
106 ,彰化縣,131896
107 ,台中市,19.6
107 ,新竹縣,2
